project_name,link,description,composants
Pmod Racing Ruler!,https://www.instructables.com/Pmod-Racing-Ruler,"Aaaaand we're off!!! Alright, so perhaps the explosion behind the racing ruler isn't real, but I don't think that detracts from its coolness. In this Instructable I'll go through what I did to make my own little racer that automatically stops whenever it bumps into an object. You can also check out the video of what to expect out of this project. ","That's right, this was inspired by the fact that I would be able to create a streamlined, light-weight racing robot that uses a ruler as its chassis. But not just any ruler -- this is actually a PCB ruler that you can solder components onto and route power to those components through the ruler itself. I figured if I could route power through the ruler, how hard would it be to mount motors, a power source, and a breadboardable microcontroller and route power to every component in the system? Let's find out."
"Maze Solver Robot, using Artificial Intelligence with Arduino",https://www.instructables.com/Maze-Solver-Robot-Using-Artificial-Intelligence-Wi,"This Instructable was developed upon my last project:Line Follower Robot - PID Control - Android Setup. Once you have a robot with line following capabilities, the next natural step is to give him some degree of intelligence. So, our dear ""Rex, the Robot"" will try now finding how to scape from a ""labyrinth"" on a shortest and fastest way (by the way, he hates the Minotaurus ;-). For starting, what is the difference betweenMazeandLabyrinth? Accordinghttp://www.labyrinthos.net, in the English-speaking world it is often considered that to be qualifird as a maze, a design must have choices in the pathway. Clearly, this will include many of the modern installations in entertainment parks and tourist attractions, including our 2D maze here. Popular consensus also indicates that labyrinths have one pathway that leads inexorably from the entrance to the goal, albeit often by the most complex and winding of routes. The majority of mazes, however complex their design may appear, were essentially formed from one continuous wall with many junctions and branches. If the wall surrounding the goal of a maze is connected to the perimeter of the maze at the entrance, the maze can always be solved by keeping one hand in contact with the wall, however many detours that may involve. Those ‘simple’ mazes are correctly known as ""Simply-connected"" or ""perfect maze"" or in other words, that containno loops. Returning to our project, it will be split in two parts (or ""passes""):  (First Pass): The robot finds its way out from a ""non-known perfect maze"". Does not matter where you put it inside the maze, it will find a ""solution"". (Second Pass): Once the robot found a possible maze solution, it should optimize its solution finding the ""shortest path from start to finish"".  The video bellow, will show an example of Rex finding its way out. In the first time that the robot explores the maze, of course it will waste a lot of time ""thinking"" about what to do at any intersection. Testing the numerous possibilities, it will take several wrong paths and dead ends, what force him to run longer paths and perform unnecessary ""U-Turns"". During this ""1st Pass"", the robot will be accumulating experiences, ""taking notes"" about the different intersections and eliminating the bad branches. In its ""2nd Pass"", the robot goes straight and quickly to the end without any mistake or doubt. Along this Instructable, we will explore in details how to do it: ","The list of materials are basically the same as the one one used with the Line Follower Robot, except that I included 2 extra Sensors for better accuracy on detecting the LEFT and RIGHT intersections: The final robot is still very cheap (around $ 85.00): Body (you can adapt it for your needs or available materials):2 X Wood squares (80X80mm)3 X Binder clips2 X Wood wheels (diameter: 50mm)1 X Ball caster9 X Elastic bands3M Command frame stripPlastic joints for sensor fixBreadBoard and wiring 2 X Wood squares (80X80mm) 3 X Binder clips 2 X Wood wheels (diameter: 50mm) 1 X Ball caster 9 X Elastic bands 3M Command frame strip Plastic joints for sensor fix BreadBoard and wiring 2 X sets of 4XNi-Metal Hydride Battery (5V each set) 2 X SM-S4303R Continuous Rotation 360 Degree Plastic Servo Arduino Nano HC-06 Bluetooth module 5 X Line sensors (TCRT5000 4CH Infrared Line Track Follower Sensor Module + 1 independent Track sensor) 2 X ZX03 (based onTCRT5000) Reflective Infrared Sensors (Analog output) 1 LED 1 button Note: I used the item 7 above with analog output, because I did not have on hand sensors with digital output as those on item 6. The ideal is to have all sensors equal, if possible. Also I tested the project keeping only the original 5 sensors. It will work, but requires more sensitive adjustments on discovering intersections."
Line Follower Robot - PID Control - Android Setup,https://www.instructables.com/Line-Follower-Robot-PID-Control-Android-Setup,"==> This project won the 2nd prize at 2016 Robotics Contest at Instructables.com. Thanks a lot for all votes ;-) The purpose of this project is to build a Line Follower Robot with PID control. We will also use an Android device to easily setup the main control parameters for better and fast tuning. This project is the first of a 2 parts more complex project where my intention is to explore the potentiality of Line Follower Robots. On the 2nd part :Maze Solver Robot, using Artificial Intelligence with Arduino, the robot will explore and solve Mazes, using simple artificial intelligence techniques. Bellow a video showing the robot following a line circuit: ",The list of materials needed is very simple and the final robot is very cheap (around $ 75.00): Body (can be adapted for your needs):2 Wood squares (80X80mm)3 Binder clips2 Wood wheels (diameter: 50mm)1 Ball caster9 Elastic bands3M Command frame stripPlastic joints for sensor fixBreadBoard and wiring 2 Wood squares (80X80mm) 3 Binder clips 2 Wood wheels (diameter: 50mm) 1 Ball caster 9 Elastic bands 3M Command frame strip Plastic joints for sensor fix BreadBoard and wiring 2 sets of 4XNi-Metal Hydride Battery (5V each set) 2 X SM-S4303R Continuous Rotation 360 Degree Plastic Servo Arduino Nano HC-06 Bluetooth module 5  X Line sensors (TCRT5000 4CH Infrared Line Track Follower Sensor Module + 1 independent Track sensor) 1 LED 1 button
The MagnetMobile: Making a Wall Crawling Rover,https://www.instructables.com/The-MagnetMobile-Making-a-Wall-Crawling-Rover,"So recently I came up with an idea… nay, a challenge: to build a robotic rover that drives up a metal surface. I challenged my co-worker Kyle and myself with this goal in the form of a one day build-off.  We documented the adventure (our thought process, trials, errors and successes) in our video podcast Control Issues (iTunes,YouTube). You may also recognize this little robot from the current (May/Jun 2016) cover ofRobot Magazine. This article takes our best working model and shows you how to build one yourself with off-the-shelf parts.","Tools: 7/64” hex key 3/32“ hex key Needle nose pliers small slot headed screwdriver Philips screwdriver Optionally a wire brush Parts: A battery, I recommend a 3S LiPo. A motor controller. We used the Actobotics Dual Motor Controller (605045). An XT60 Connector to connect to the batter (605138)… and some wire to solder to it. Motors. We used four 170RPM Econ Motors (638354). Four clamping motor mounts (585716). Motor power Boards, optional but convenient (605118). Four JST leads to connect the motors (JST20F) A transmitter and receiver. We used a Tactic TTX410. Two Servo wires to connect the receiver to the motor controller (MM2204S) Flat Dual Channel Bracket (585422) to mount the motor controller to. A rubber band to strap on the receiver Two 1” 6-32 standoffs (534-3489) A mini breadboard snap mount… which we used as a battery mount (585060). Five 1/8"" inch hub spacers. One is required to space up the battery mount. The other four are optional and are used on the wheels. Four 4” heavy duty wheels (595410) Four 4mm set screw hubs (545568) #6 nylon spacers (0.125” long) we used 13 of them. We used them to space the magnets as well as the motor controller. You may need more or less depending on how you space your magnets.  (561-KSP92) Four 6-32 nuts (585474) Three flat head screws (flat on top but Philips drive). The length will depend on the spacing you choose to use. We used 1” (91771A153) on the front and back magnet stacks, and 1-1/4” (91771A155) on the middle stack. 6-32 socket head screwsEight 5/16” for the motor mounts (632108).Sixteen 5/8” for the wheel hubs (632118).Eight 7/16” two for the battery mount, six for the motor controller mounting (632112). Eight 5/16” for the motor mounts (632108). Sixteen 5/8” for the wheel hubs (632118). Eight 7/16” two for the battery mount, six for the motor controller mounting (632112)."
Rero Lego Dinosaur,https://www.instructables.com/Rero-Lego-Dinosaur,"Welcome to therero Lego Dinosaur Instructable! If you've stumbled upon this Instructable, you're either looking for a good project to build with yourreroset, you love playing withLego, or maybe you just adore our ancient reptilian overlords! Part Requirements: For this model, 1reroStandard Set and 1reroExpansion Set byCytron Technologiesis used, so you won't need to worry about not having enoughreroparts as long as you have those two sets. As for theLegoparts, I can't say for certain whichLegoset you can get that has all the required parts in it, so you will have to look for them or work around them yourself. You'll also need therero Animatorsoftware to program the robot, so install that too. How to use this Instructable: Due to the sheer amount of things I have to cover in this Instructable, I've broken them down into several major 'Steps' where we will complete the robot one section at a time. Assembly instructions and notes are included in the pictures, so make sure you read them so that you don't get lost. For those who intend to ""freestyle"" the build: Now, I know that there would be plenty of people among you who would take the assembly instructions I provide as a reference only and come up with your own designs based off them (I am referring to the mechanical aspects, not aesthetics). If you are among them...... go ahead! I will be in no way offended, and instead be glad that you could come up with your own designs. Sincerely. However, please do give the written materials a quick read through, as I have taken care to include things that you need to take note of when building your Dinosaur, such as places where you need to reinforce, the weight distribution and the walking mechanism etc. Last but not least, happy building!","In the event where you can't find someLegoparts listed here, it's fine! You can always utilize what you do have and work around things. That's whatLegois all about anyways. A quick note on the 8 Length 13 Beams used (Second pic.): The beams make up the main structure of the legs, meaning that they do most of the supporting, together with thereroCube Servos. By the end of the build, the Dinosaur may experience problems standing up, especially if the amount of ""cosmetics"" you add are too heavy. To fix this, you may use shorter Beams (minimum should be Length 9, before it gets too short) as replacements so that the torque from the Cube Servo transfers over more efficiently to the legs (as in a lever system). Since these are for one leg only, you need to prepare one more set of these for the other leg."
SMART CAR AND SMART PARKING SYSTEM,https://www.instructables.com/SMART-CAR-Having-Parking-Capabilities-of-Its-Own,"This instructable is the written version of my ""Arduino: How To Build A SMART CAR AND SMART PARKING SYSTEM "" Robotics is a part of today’s communication. In today’sworld robotics is a fast growing and interesting field. It is simplest way for latest technological modification.  This project is basic stage of any automatic robot. The obstacle detection scheme would be based on a sonar sensor, one for right and one for left direction, a micro controller would take input from the sensor and then compare the inputs to decide where the robot should turn. It would then give input to the two h-bridges which would in turn direct the motors to control the movement of the robot. Apart from that we will use two 9v batteries to power the micro controller and the motors.   We are introducing smarting parking too by sending the number of free parking slots in the parking lot to cloud enabling every user to access on their mobiles .",Our project is basically a smart car having parking capabilities of its own and similarly capability to come out of a parking lot on just a push of a button .The project is included with a smart parking system too which enables users to know the status of parking slots available by synchronizing the data with the cloud server . Imagine a person comes to a parking lot which has free slots (as it will be updated to parking cloud server accessible on persons mobile) and abandon his car there itself and the car automatically goes into its den searching for free slots nearest to the exit gate  . And again a switch of a button would bring the car back in a ready to go                 condition!!! WE SAVE TIME ; GET HASSTLE FREE PARKING ; PREVENT PARKING ACCIDENTS
Design Robot Legs,https://www.instructables.com/Design-Robot-Legs,"If your robot have bored of wheel movement, this instructables show you how to design and make Theo Jansen's Strandbeest legs (without 3D printer) for you robot. Ref.: https://www.google.com/search?q=strandbeest&tbm=is...","GeoGebra can help you design the mechanics of the robot legs: http://www.geogebra.org/download Try download and install GeoGebra and then open the attached file Beest.ggb, press play button at the left bottom corner. You can see how it works! Every value at the left hand side slider can be adjust and it can real time show the effect at the diagram. Once the legs movement seems fine for you, remember your adjusted value, it will use in next steps."
LEGO EGGBOT,https://www.instructables.com/LEGO-EGGBOT,"What better way to decorate your eggs than with an EGGBOT! What is an eggbot? Well an eggbot is basically a machine that can draw on eggs. It is a double axis robot so you can make a vast variety of designs on your egg. I wanted to make one for easter, since i was bit lazy to manually decorate the eggs I decided that it was time to make an eggbot. In this instructables I made the eggbot out of lego, you can use the same concept and mechanisms and make it out of your preferable material. For the instructables I made a step by step manual so that building it becomes easy. Lots of effort has gone into it and I hope you like it, let's get started!",Lego Mindstorms(31313 EV3) An egg Pens And a neat and tidy work-space will surely help yup that's all!
Pipe Bot - A smart arduino bluetooth robot,https://www.instructables.com/Pipe-Bot-a-Smart-Arduino-Bluetooth-Robot,"This is my first instructables. Here I am showing how to make a cheap two wheeled arduino bluetooth robot, using  PVC pipes and its joints(for making the body). It's simple to make and easy to program. It have a lot of fun to play with this robot. It is not only a common bluetooth robot but a robot  having many functions and a unique (My own)design make it different from that of other arduino bluetooth robots. I made this robot not only for fun, also have a plan to add accelerometer and a camera to it and some other small sensors. Thus we can use this robot in various fields .This robot is only a basic design. My next plan to upgrade this robot to v2.0 when I purchase the mpu 6050. Main uses/Possibilities - Disaster management  - This robot have a simple design and only have two wheels and in a cylindrical shape therefore it can travel to almost all terrains and through dangerous areas . Spying agent for military purpose   - This robot is look like a piece of PVC pipe there for no one can simply identify this is a robot since we can use this for taking images and fore collecting information as spying agent. Home surveillance robot  Bluetooth application to control the pipe bot Click here to download it  Pipe bot in action. Watch the video to understanding the controlling of the pipe bot using the bluetooth app.   Here download all the files -Arduino code, Circuit diagram and fritzing file",Screwdriver Wire cutting Cutting tool Soldering iron Drilling machine(not important) Glue gun(not important)
90 Degree Adapter for VexPro VersaPlanetary Gearbox for FIRST Robotics,https://www.instructables.com/90-Degree-Adapter-for-VexPro-VersaPlanetary-Gearbo,"The Killer Bees Robotics team developed this solution in 2015 and now we would like to share it with all of the FIRST Robotics Community. The VexPro VersaPlanetary Gearbox System is one of the most versatile and flexible components ever created for use in FIRST Robotics.    This tutorial shows you how to make it even better.  For all of its strengths, sometimes the VersaPlanetary gearbox and motor assemblies are hard to fit into tight spaces.  With a simple adaptation using a commonly available drill adapter, now you can literally make your VersaPlanetary gearboxes reach around corners! This solution uses the Dewalt Right Angle Attachment - P/N DWARA100.  This is a great little component, featuring a lightweight magnesium housing, ball bearings, and hardened impact rated bevel gears.   Our tests show it to be over 90% efficient even under heavy loads.   Selling for under $20, it is a great part at a bargain price! Our particular application in this example is a 90 degree gearbox driving an internal chain drive inside of a 1"" x 2"" box tube. This exact solution was used in our ball collector design on Buzz21 for 2016, however you can use this method for all sorts of other right angle power transmission robotics applications.    We have two of these Dewalt 90 degree devices on our our current robot, with different speeds and output configurations.","Materials Needed (Right Angle Assembly) Dewalt Right Angle Attachment  - P/N  DWARA100http://www.amazon.com/DEWALT-DWARA100-Right-Angle-... VersaPlanetary Gearboxhttp://www.vexrobotics.com/versaplanetary.html VersaPlanetary Gearboxhttp://www.vexrobotics.com/versaplanetary.html 12VDC 775 Pro Motorhttp://www.vexrobotics.com/vexpro/motors-electroni... 12VDC 775 Pro Motorhttp://www.vexrobotics.com/vexpro/motors-electroni... 1/4"" hex steel stockhttp://www.mcmaster.com/#6512k121/=11vg2w2 1/4"" hex steel stockhttp://www.mcmaster.com/#6512k121/=11vg2w2 Three 1/4"" shaft collarshttp://www.mcmaster.com/#6157k12/=11vg3c8 Three 1/4"" shaft collarshttp://www.mcmaster.com/#6157k12/=11vg3c8 Optional Materials Needed (Additional parts for full collector drive assembly as shown) Three 1/2"" hex bearings 217-3875http://www.vexrobotics.com/bearings.html Three 1/2"" hex bearings 217-3875http://www.vexrobotics.com/bearings.html Three 1/2"" FR8ZZ round bearings  PN 217-2731http://www.vexrobotics.com/bearings.html Three 1/2"" FR8ZZ round bearings  PN 217-2731http://www.vexrobotics.com/bearings.html Two 16 tooth sprockets  PN 217-2642http://www.vexrobotics.com/25-sprockets.html 1 x 2 x 1/8"" box aluminumhttp://www.mcmaster.com/#6546k39/=11xap1x 1 x 2 x 1/8"" box aluminumhttp://www.mcmaster.com/#6546k39/=11xap1x 1/2"" Hex Aluminum stock  PN 217-3309http://www.vexrobotics.com/vexpro/hardware/shaft-s... 1/2"" Hex Aluminum stock  PN 217-3309http://www.vexrobotics.com/vexpro/hardware/shaft-s... 10-32 x 3/4"" Allen Head Cap Screwshttp://www.mcmaster.com/#91251a345/=11xaqvb 1/16"" Thick VexPro Hex Spacers  PN  217-3257http://www.vexrobotics.com/vexpro/hardware/acetals... 30T VexPro Gear  PN 217-2705http://www.vexrobotics.com/vexpro/motion/vexpro-ge... 40T VexPro Gear PN  217-2708http://www.vexrobotics.com/vexpro/motion/vexpro-ge... 1/4-20 x .50"" button head screws 1/4"" washers Tools Needed: Torx Key set Torx Key set SAE Allen Key set SAE Allen Key set Metric Allen Key Set Snap Ring Pliershttp://www.mcmaster.com/#5415a61/=11vg6w7 Snap Ring Pliershttp://www.mcmaster.com/#5415a61/=11vg6w7 1/4"" hex broachhttp://www.mcmaster.com/#2875a15/=11vg6d9 1/4"" hex broachhttp://www.mcmaster.com/#2875a15/=11vg6d9 Drill Press and Vice Drill Press and Vice 7/32"", 1/4"", 5/16"" Drill bit Arbor Press Arbor Press Lathe (optional but recommended) Lathe (optional but recommended) 1/4""-20 Tap and Tap Wrench"
Robot Educativo Fischertechnik Arduino (RAFA),https://www.instructables.com/Robot-Educativo-Fischertechnik-Arduino-RAFA,"Este proyecto trata de como crear un robot con fines educativos usando el sistema Fishertechnik y potenciandolo con todas las prestaciones de Arduino, con ello conseguimos una plataforma educativa: - muy versátil -adaptable a diferentes niveles -divertida -económica Lo mostrado en este Instructable es una propuesta, dejo a vuestra imaginación las modificaciones y mejoras que creais oportunas. Yo lo he bautizado como Rafa. ;-)","En la imagen adjunta podeis ver las piezas que yo he usado para crear a Rafa, las he conseguido de un Kit Fischertechnik (533923). Este Kit nos propone 5 modelos de Robot diferentes controlados por una 'caja negra' , con en este instructable crearemos el 6º Robot, pero esta vez controlado por Arduino, esto nos da mucha más versatilidad en su funcionamiento, podremos añadir más gama de sensores y aprender a programarlo primero por bloques (mBlock) y luego directamente con el IDE de Arduino."
Little BB-8,https://www.instructables.com/Little-BB-8,"BB-8 is a well-known droid character fromStar Warsfranchise. Even though BB-8 has been implemented crazy number of times in different forms, shapes, sizes and with different technical basement   by many people all over the world, we still decided to build it ourselves to understand if we can make it, to build it our own size and to add some important feautures. BB-8 is controlled with bluetooth, made from ABS plastic with a little plywood inside. This project has been created in 7 days during VIII International Fablab School in Saint Petersburg, Russia as a part of International Design Project 2016. Additions, improvements and final corrections will be done during next two months and the result of it will be presented in Hannover, Germany. The future  plan includes providing our robot with different types of sensors, such as temperature sensor, humidity sensor and etc. Our team is: 1) Svenja Fabisiak 2) Moritz Gutt 3) Shen Lui 4) Petr Maximov 5) David Ensky 6) Polina Buriak Tools and materials: ABS plastic Arduino Uno x1 Bluetooth module x1 Plywood (4 mm in thickness) Bearings x4 Magnets x8 Battery Servo motors x2 DC motor x2 Motor drivers x2","The whole idea about the body was to print two parts with 3D-printer and then connect them together. The mechanism of connecting two parts together was pretty simple in theory: to make ledges on both semi-spheres, on one from outer side and on another from inner side, and then connect them together with the mechanism similar to the one in kinder surprise egg :) But it appeared to be more complicated then we thought. Two parts of this sphere (that took us 24 hours to print each) wouldn't fit in so we had to consider other ways to connect the balls: we cut the ring of ledges off one semi-sphere, we printed one more semi-sphere, a bit smaller than the previous one, to put inside the bigger one to help connect everything and many other solutions. In the end we decided to print an additory ring of ledge and glue it to one semi-sphere. After that everything connected easily. The head is also printed. It is connected with the body through special magnetic mechanism: there is a servo motor inside the body that turns a wooden stick, on the end of this stick there is a magnet holder for three magnets. In the head there are also three magnets installed. Due to this the head can move without being installed into the body. You can see it on photos."
PicRobi wireless robot platform,https://www.instructables.com/PicRobi-Wireless-Robot-Platform,"Hi Everybody, I would like to share my little robot project with you, I hope it could be inspirational for you. So I studied electronics and I always wanted to do something what involves all what I learned and that is how I started making this robot. The basic concept was to build a ""Mars exploration rover"" like Curiosity. I really like to work with electronics, software and mechanics and when you put these three things together something pretty amaizing can happen. This is just a prototype for testing some basic functions but it was very inetersting to see some results. Actually he is in little parts now because the microcontroller I have used had too many limitations and I found a way to solve this so he will reborn soon.","The hart of this robot is a PIC16F887 8bit microcontroller. The secret is not in the hardware, it is in the code. I realized very basic functions with the microcontroller like measuring analog inputs from sensors (light intensity, temperature, infra distance measurement), digital inputs (digital sensors, contacts), digital outputs (switching on/off high current parts like the camera or power LEDs), driving an H-Bridge with two DC motor and provide PWM signal to control motor speed, servo motor control (head, arms). These are very basic functions and they need very little coding using C language."
Brzydal - the social robot,https://www.instructables.com/Brzydal-the-Social-Robot,"The  goal of the project is to investigate uncanny valley hypothesis  (cognitive robotics) and other social interaction of robots. Hypothesis  of uncanny valley said that robots that are similar to humans could  cause a response of revulsion among some observers. For example you can see video:Ode to uncanny valley. Brzydal is  the robotic head with a face displayed on screen. Robot can move his  head in two planes using three servomotors. Robot-Human interface will  be based on speaker and camera, so robot can locate human face and talk  to him. Table of Contents: Step   1:           General architecture Step   2:           Pre-evaluation video Steps 3 - 22:    Mechanical part of the project Step   23.         ZYBO Preparation Step   24.         Installation of a system Steps 25 - 28.  Implementation part of a project Steps 29 - 30.  Cognitive science research Repositories:  C++ code -https://github.com/KozikR/Brzydal Vivado Project -https://github.com/KozikR/Brzydal_FPGA This project is still under construction. We will update progress in short time! If you have questions, feel free to ask in the comments!","Brzydal is controlled by Zybo Zynq™-7000 Development Board with installed Xillinux - a Linux distribution for ZyBo. Brzydal will get information about human from camera image. Image processing will be implemented on FPGA part of ZYBO Development Board. Based on image processing data Brzydal will act accordingly to situation by moving and displaying proper face expression on LCD screen. Servomotors controller is already implemented on FPGA part. ARM part of ZYBO is responsible for displaying different face animation on LCD screen. That system creates closed feedback loop, which will allow us to measure human emotions in contact with different face."
Mindstorms Sumo Ring (Dohyo),https://www.instructables.com/Mindstorms-Sumo-Ring-Dohyo,"I have some experience playing with mini sumo robots, but lately I discovered the fun you can have with (old) LEGO Mindstorms robots. My mini sumo ring is a little bit small for the bigger LEGO robots and searching the internet I noticed that most sumo rings for Mindstorms are colored the other way around. (this means white in the middle and a black border surrounding it) So it was time to make a new sumo dohyo. I didn't want to spend a lot of time making it, so I took a trip to a thrift store and bought myself the cheapest round table I could find. I wanted to buy something like a party table, that is already white. They didn't have something like that so I came home with a heavy, 90 cm, massive oak table. (I make up my own rules for the sizes I use.) Well than we have to use just that. You will need:  one round table in the right size masking tape sanding paper matt black paint tape measure a nail hammer piece of schrap wood knife dry erase pen scissors spatula or credit card ","We only need the table top, so first we need to remove the legs. (I didn't buy the legs, so for me it was easy) I didn't want to paint the sides, so I had to mask them. (Most rules say that the sides have to be an other color than black or white, so the original brown was ok for me. Also if it was painted, it would damage very easily during transportation.) Ik sanded the outer 10 cm (4 inch) of the table to give the paint something to hold on to. And before painting you also need to wipe it clean again."
Simple RC Wedge Robot,https://www.instructables.com/Simple-RC-Wedge-Robot,"I have loved Remote Controlled Robots for years and my kids grew up being exposed to them.  My son is finally old enough where he can have his own robot to start getting the hang of driving with a joystick.  I went with a really simple wedge design and easy to work with components.  Just jumping into robot building can be very daunting at first but with a little advice it can be fun. With this Instructable I intend to show how I built my son's robot and which parts I used.  Many other components can be used in different configurations with equal or better results than mine.  Be creative, be safe and have fun driving around the house or the arena!","I bought the majority of my parts from 2 websites: RobotMarketPlace and HobbyKing www.RobotMarketPlace.com On/off switch - $1.59 - 1x BaneBots 2 7/8"" wheels - $3.00 - 2x BaneBots Hex Hub - $4.29 - 2x  (the hub needs to have an ID to match your motor) Beetle B16 Gearmotor - $29.99 - 2x     (different gear ratios will give you lots of torque or lots of speed) www.HobbyKing.com HobbyKing 35A car ESC (electric speed controller) - $23.55 - 2 Lipo Battery - $15.00 - x1 Electric connector (XT60 or XT30) - $3.99 - x1 Radio transmitter/receiver - $23.55 - x1 Servo - $6.00 - x1 Other Stuff: Sheet metal - Fasteners - Double sided tape - Velcro - Wire - Plastic - Battery Charger The Total cost will be around $200 to build your first robot, budget accordingly."
3D Printed Snake Robot,https://www.instructables.com/Snake-Robot,"When I got my 3D printer I started to think what can I make with it. I printed a lot of things but I wanted to make a whole construction using 3D printing. Then I thought about making robot animal. My first idea was to make a dog or spider, but a lot of people already made dogs and spiders. I was thinking about something different and then I thought about snake. I designed whole snake in fusion360, and it looked awesome so I ordered necessary parts and build one. I think that the result is great. On the video above you can see how I made it or you can reed about it below.","Here is what we will need:  8Micro servo motors Some 3D printed parts Screws 3,7V li-po battery Some parts to make PCB (atmega328 SMD, capacitor 100nF, capacitor 470μF, resistor 1,2k, some goldpins). It's very important to make PCB for this project because when you connect everything on breadboard your snake wouldn't be able to move. "
Miniature MadBot,https://www.instructables.com/Miniature-MadBot,In this project we can use useless phone and some handy things to make a MadBot which moves like mad and it is small in size. So let's get started.,We need some things which shown in below. - A useless mobile - A useless toothbrush - Equipment for soldering - Screwdriver - A piece of thread - Double sided tape
